COMB Title,NumberOfConsoles,GCN,XBX,PS2,Brand,License,Publisher,Developer,NPD Super Genre,NPD Sub Genre,Launch,Launch Year,Launch Month,ESRB,Online,Review,AvgReleaseYearPrice,PriorSaleBrand (M),TotalPriorSalesBrand (M),ConcurrentReleaseBrand,ConcurrentReleaseGenre,PriorReleaseBrand,PriorReleaseGenre,FirstYearUnits,FirstYearSales (M),FirstYearRatio,LTD ASP,LTD Units,LTD Dollars (M),Vivendi,Peer group,Violent genre
TOP GUN: COMBAT ZONES,2,1,0,1,TOP GUN,,TITUS INTERACTIVE,DIGITAL INTEGRATION,FLIGHT,AIR COMBAT SIMULATIONS,01-Oct-01,2001,10,E,NO,60.54999924,49.50,0.00,0.00,0,4,0,0,271584,11.87,75.41%,30.50,455418,15.73,No,No,Non violent
TOP SPIN,1,0,1,0,,PRO TENNIS,MICROSOFT ,PAM DEVELOPMENT,SPORTS,TENNIS,01-Oct-03,2003,10,E,YES,87.69999695,48.00,0.00,0.00,0,1,0,1,243898,9.55,90.55%,38.00,278561,10.54,No,No,Non violent
TOTAL IMMERSION RACING,2,0,1,1,,,VIVENDI UNIVERSAL ,RAZORWORKS,RACING,SPORTS ORIENTED RACING,01-Nov-02,2002,11,E,NO,62.25,25.50,0.00,0.00,0,17,0,14,31646,0.60,72.74%,16.50,55093,0.83,Vivendi,Yes,Non violent
TOTALED!,1,0,1,0,,,MAJESCO,RAGE SOFTWARE,RACING,ACTION ORIENTED RACING,01-Aug-02,2002,8,T,NO,62.79999924,31.00,0.00,0.00,0,10,0,4,38042,1.15,93.70%,30.00,41231,1.23,No,No,Non violent
TOURNAMENT PAINTBALL,1,0,1,0,,,ACTIVISION,WXP,SPORTS,EXTREME SPORTS,01-Nov-04,2004,11,T,YES,71.80000305,36.00,0.00,0.00,0,2,0,24,158841,5.64,56.78%,36.00,276972,9.94,No,No,Non violent
TOXIC GRIND,1,0,1,0,,,THQ ,BLUE SHIFT,SPORTS,EXTREME SPORTS,01-Oct-02,2002,10,T,NO,56.09999847,39.00,0.00,0.00,0,10,0,7,7224,0.11,67.02%,12.00,13001,0.16,No,Yes,Non violent
TRANSFORMERS,1,0,0,1,TRANSFORMERS,TRANSFORMERS,ATARI,MELBOURNE HOUSE SOFTWARE,ACTION,GENERAL ACTION,01-May-04,2004,5,T,NO,77.30000305,41.00,0.00,0.00,0,40,0,82,188930,7.82,93.65%,40.00,210643,8.35,No,No,Violent
TRANSWORLD SNOWBOARD,1,0,1,0,,,ATARI,HOUSEMARQUE,SPORTS,EXTREME SPORTS,01-Oct-02,2002,10,T,NO,73.5,49.00,0.00,0.00,0,10,0,7,40728,1.74,89.86%,38.00,51633,1.94,No,No,Non violent
TRANSWORLD SURF,2,0,1,1,TRANSWORLD SURF,,ATARI,ANGEL STUDIOS,SPORTS,EXTREME SPORTS,01-Nov-01,2001,4,T,NO,73.55000305,49.50,0.00,0.00,0,22,0,14,119515,5.49,89.95%,40.00,152492,6.11,No,No,Non violent
TRANSWORLD SURF: NEXT,1,1,0,0,TRANSWORLD SURF,,ATARI,ANGEL STUDIOS,SPORTS,EXTREME SPORTS,01-Mar-03,2003,3,T,NO,65.80000305,47.00,0.00,0.00,0,6,0,15,166,0.01,64.24%,44.00,268,0.01,No,No,Non violent
